subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
44,99,closefr,guilt,InvestRelationship,2,14114.15625,15090.8637,patient,usa
44,99,closefr,guilt,NoShareReward,0,14568.51211,16242.60511,patient,usa
44,99,closefr,guilt,RefuseCompensation,11.5,8337.894622,9538.168445,patient,usa
44,99,closefr,guilt,NoCompensate4Help,20,11996.40492,13197.96964,patient,usa
45,72,teach,guilt,ComplainTroubles,50,13250.89674,13464.25104,patient,usa
45,72,teach,guilt,NoInvest4Needs,50,15320.72711,15651.0526,patient,usa
45,72,teach,guilt,NoTimeCompany,58,14098.48038,14427.2599,patient,usa
45,72,teach,guilt,ExpressDisagree,57.5,14375.69537,14146.27708,patient,usa
45,72,teach,guilt,RefuseTaskInstruct,38,15686.55432,15258.2151,patient,usa
45,72,teach,guilt,PursueOwnAction,57.5,15501.73686,15142.56563,patient,usa
45,72,teach,guilt,AvoidSex,0,9007.2328,10350.73073,patient,usa
45,72,teach,guilt,DateOthers,0,12933.55396,13811.09167,patient,usa
45,72,teach,guilt,InvestRelationship,0,13181.17714,14305.84531,patient,usa
45,72,teach,guilt,NoShareReward,22.5,15403.90667,15677.87448,patient,usa
45,72,teach,guilt,RefuseCompensation,50,9260.780099,9622.836979,patient,usa
45,72,teach,guilt,NoCompensate4Help,50,12450.52889,12882.23646,patient,usa
47,95,teach,guilt,ComplainTroubles,23.5,13250.89674,13464.25104,patient,usa
47,95,teach,guilt,NoInvest4Needs,0,15320.72711,15651.0526,patient,usa
47,95,teach,guilt,NoTimeCompany,20,14098.48038,14427.2599,patient,usa
47,95,teach,guilt,ExpressDisagree,96,14375.69537,14146.27708,patient,usa
47,95,teach,guilt,RefuseTaskInstruct,0,15686.55432,15258.2151,patient,usa
47,95,teach,guilt,PursueOwnAction,16.5,15501.73686,15142.56563,patient,usa
47,95,teach,guilt,AvoidSex,0,9007.2328,10350.73073,patient,usa
47,95,teach,guilt,DateOthers,0,12933.55396,13811.09167,patient,usa
47,95,teach,guilt,InvestRelationship,0,13181.17714,14305.84531,patient,usa
47,95,teach,guilt,NoShareReward,51.5,15403.90667,15677.87448,patient,usa
47,95,teach,guilt,RefuseCompensation,100,9260.780099,9622.836979,patient,usa
47,95,teach,guilt,NoCompensate4Help,1.5,12450.52889,12882.23646,patient,usa
54,82,romantic,guilt,ComplainTroubles,0,13320.13033,12315.80862,patient,usa
54,82,romantic,guilt,NoInvest4Needs,19.5,15696.52586,14407.43179,patient,usa
54,82,romantic,guilt,NoTimeCompany,0,14501.52065,13194.88239,patient,usa
54,82,romantic,guilt,ExpressDisagree,30,13394.80317,12653.29546,patient,usa
54,82,romantic,guilt,RefuseTaskInstruct,4,14465.75727,13568.2471,patient,usa
54,82,romantic,guilt,PursueOwnAction,5,14315.41697,13487.95291,patient,usa
54,82,romantic,guilt,AvoidSex,54.5,10940.04439,8773.479645,patient,usa
54,82,romantic,guilt,DateOthers,6,13970.03694,12150.37208,patient,usa
54,82,romantic,guilt,InvestRelationship,35,16434.07037,11898.96556,patient,usa
54,82,romantic,guilt,NoShareReward,36.5,16632.7844,13536.16537,patient,usa
54,82,romantic,guilt,RefuseCompensation,5,10831.89214,7639.881495,patient,usa
54,82,romantic,guilt,NoCompensate4Help,20.5,14287.10241,10786.24778,patient,usa
56,91,sib,guilt,ComplainTroubles,12.5,12027.54239,13357.72744,patient,usa
56,91,sib,guilt,NoInvest4Needs,56,14291.94792,15638.16784,patient,usa
56,91,sib,guilt,NoTimeCompany,42.5,13070.43526,14354.30192,patient,usa
56,91,sib,guilt,ExpressDisagree,58.5,11859.45234,13810.83239,patient,usa
56,91,sib,guilt,RefuseTaskInstruct,61.5,12811.27204,14935.94296,patient,usa
56,91,sib,guilt,PursueOwnAction,11,12660.60719,14789.9077,patient,usa
56,91,sib,guilt,AvoidSex,0,8260.954457,9464.750279,patient,usa
56,91,sib,guilt,DateOthers,0,11558.95827,13150.33645,patient,usa
